date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:42:05	56648/56648	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Feb%202026%2011:44:40%20GMT	https://ambienteseguro.org.ua/c/1e4270df11	C:/Meus%20Sites/cheee/ambienteseguro.org.ua/c/1e4270df11.html	(from )
08:42:06	768/768	---MCZ	200	added ('OK')	text/plain	date:Mon,%2009%20Feb%202026%2011:44:40%20GMT	https://ambienteseguro.org.ua/robots.txt		(from )
08:42:06	19927/19927	---M-Z	200	added ('OK')	application/javascript	etag:W/%224dd7-LQbB+CPzTBmYHGrgsOsPWGHF4Us%22	https://cdn.jsdelivr.net/gh/davidshimjs/qrcodejs/qrcode.min.js	C:/Meus%20Sites/cheee/cdn.jsdelivr.net/gh/davidshimjs/qrcodejs/qrcode.min.js	(from https://ambienteseguro.org.ua/c/1e4270df11)
08:42:07	355863/355863	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2009%20Feb%202026%2011:44:41%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Meus%20Sites/cheee/connect.facebook.net/en_US/fbevents.js	(from https://ambienteseguro.org.ua/c/1e4270df11)
08:42:07	693631/693631	---M--	200	added ('OK')	image/png	etag:%226957ed85-a957f%22	https://multi.paradisepags.com/uploads/product_banners/store_2168_banner_12e081a8afc7e1fdce1121103020708c.png	C:/Meus%20Sites/cheee/multi.paradisepags.com/uploads/product_banners/store_2168_banner_12e081a8afc7e1fdce1121103020708c.png	(from https://ambienteseguro.org.ua/c/1e4270df11)
08:42:07	237958/237958	---M--	200	added ('OK')	image/jpeg	etag:%226957ed85-3a186%22	https://multi.paradisepags.com/uploads/product_images/store_2168_9619662f12be10731f6178ecb4058375.jpg	C:/Meus%20Sites/cheee/multi.paradisepags.com/uploads/product_images/store_2168_9619662f12be10731f6178ecb4058375.jpg	(from https://ambienteseguro.org.ua/c/1e4270df11)
08:42:08	28297/28297	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Jan%202026%2016:34:58%20GMT	https://grimo.site/priv-hot/order-img/juliana.png	C:/Meus%20Sites/cheee/grimo.site/priv-hot/order-img/juliana.png	(from https://ambienteseguro.org.ua/c/1e4270df11)
08:42:08	305612/305612	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Jan%202026%2016:34:51%20GMT	https://grimo.site/priv-hot/order-img/mel.png	C:/Meus%20Sites/cheee/grimo.site/priv-hot/order-img/mel.png	(from https://ambienteseguro.org.ua/c/1e4270df11)
08:42:08	397004/397004	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Jan%202026%2016:34:48%20GMT	https://grimo.site/priv-hot/order-img/negrini.png	C:/Meus%20Sites/cheee/grimo.site/priv-hot/order-img/negrini.png	(from https://ambienteseguro.org.ua/c/1e4270df11)
08:42:08	105053/105053	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Jan%202026%2016:34:55%20GMT	https://grimo.site/priv-hot/order-img/kamyvitalicio.png	C:/Meus%20Sites/cheee/grimo.site/priv-hot/order-img/kamyvitalicio.png	(from https://ambienteseguro.org.ua/c/1e4270df11)
08:42:09	246045/246045	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Jan%202026%2016:34:44%20GMT	https://grimo.site/priv-hot/order-img/wpp.png	C:/Meus%20Sites/cheee/grimo.site/priv-hot/order-img/wpp.png	(from https://ambienteseguro.org.ua/c/1e4270df11)
08:42:09	537/537	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Feb%202026%2011:44:43%20GMT	https://ambienteseguro.org.ua/c/t	C:/Meus%20Sites/cheee/ambienteseguro.org.ua/c/t	(from https://connect.facebook.net/en_US/fbevents.js)
08:42:09	537/537	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Feb%202026%2011:44:44%20GMT	https://ambienteseguro.org.ua/c/signals/config/	C:/Meus%20Sites/cheee/ambienteseguro.org.ua/c/signals/config/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
